DRG Definition	Provider Id	Provider Name	Provider Street Address	Provider City	Provider State	Provider Zip Code	Hospital Referral Region Description	 Total Discharges 	 Average Covered Charges    Average Total Payments 	Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10056	ST VINCENT'S BIRMINGHAM	810 ST VINCENT'S DRIVE	BIRMINGHAM	AL	35205	AL - Birmingham	43	$22,862.23 	$5,374.65 	$4,186.02 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10078	NORTHEAST ALABAMA REGIONAL MED CENTER	400 EAST 10TH STREET	ANNISTON	AL	36207	AL - Birmingham	21	$31,110.85 	$5,366.23 	$4,376.23 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10083	SOUTH BALDWIN REGIONAL MEDICAL CENTER	1613 NORTH MCKENZIE STREET	FOLEY	AL	36535	AL - Mobile	15	$25,411.33 	$5,282.93 	$4,383.73 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10085	DECATUR GENERAL HOSPITAL	1201 7TH STREET SE	DECATUR	AL	35609	AL - Huntsville	27	$9,234.51 	$5,676.55 	$4,509.11 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10090	PROVIDENCE HOSPITAL	6801 AIRPORT BOULEVARD	MOBILE	AL	36608	AL - Mobile	27	$15,895.85 	$5,930.11 	$3,972.85 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10092	D C H REGIONAL MEDICAL CENTER	809 UNIVERSITY BOULEVARD EAST	TUSCALOOSA	AL	35401	AL - Tuscaloosa	31	$19,721.16 	$6,192.54 	$5,179.38 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10100	THOMAS HOSPITAL	750 MORPHY AVENUE	FAIRHOPE	AL	36532	AL - Mobile	18	$10,710.88 	$4,968.00 	$3,898.88 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10103	BAPTIST MEDICAL CENTER-PRINCETON	701 PRINCETON AVENUE SOUTHWEST	BIRMINGHAM	AL	35211	AL - Birmingham	33	$51,343.75 	$5,996.00 	$4,962.45 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10104	TRINITY MEDICAL CENTER	800 MONTCLAIR RD	BIRMINGHAM	AL	35213	AL - Birmingham	29	$55,219.31 	$5,710.31 	$4,471.68 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10113	MOBILE INFIRMARY	5 MOBILE INFIRMARY CIRCLE	MOBILE	AL	36652	AL - Mobile	66	$14,948.15 	$5,550.90 	$4,219.90 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10139	BROOKWOOD MEDICAL CENTER	2010 BROOKWOOD MEDICAL CENTER DRIVE	BIRMINGHAM	AL	35209	AL - Birmingham	19	$73,846.21 	$4,987.26 	$3,944.42 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	20017	ALASKA REGIONAL HOSPITAL	2801 DEBARR ROAD	ANCHORAGE	AK	99508	AK - Anchorage	23	$34,805.13 	$8,401.95 	$6,413.78 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30002	BANNER GOOD SAMARITAN MEDICAL CENTER	1111 EAST MCDOWELL ROAD	PHOENIX	AZ	85006	AZ - Phoenix	11	$34,803.81 	$7,768.90 	$6,951.45 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30006	TUCSON MEDICAL CENTER	5301 EAST GRANT ROAD	TUCSON	AZ	85712	AZ - Tucson	40	$24,474.75 	$6,799.85 	$5,764.87 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30007	VERDE VALLEY MEDICAL CENTER	269 SOUTH CANDY LANE	COTTONWOOD	AZ	86326	AZ - Phoenix	18	$28,571.61 	$9,133.00 	$8,008.11 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30010	CARONDELET ST  MARYS HOSPITAL	1601 WEST ST MARY'S ROAD	TUCSON	AZ	85745	AZ - Tucson	12	$35,968.50 	$6,506.50 	$5,379.83 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30011	CARONDELET ST JOSEPHS HOSPITAL	350 NORTH WILMOT ROAD	TUCSON	AZ	85711	AZ - Tucson	42	$26,294.52 	$6,083.42 	$4,903.33 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30012	YAVAPAI REGIONAL MEDICAL CENTER	1003 WILLOW CREEK ROAD	PRESCOTT	AZ	86301	AZ - Phoenix	28	$26,771.78 	$7,140.85 	$6,133.57 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30013	YUMA REGIONAL MEDICAL CENTER	2400 SOUTH AVENUE A	YUMA	AZ	85364	AZ - Phoenix	20	$29,967.80 	$6,978.75 	$5,969.55 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30023	FLAGSTAFF MEDICAL CENTER	1200 NORTH BEAVER STREET	FLAGSTAFF	AZ	86001	AZ - Phoenix	15	$27,349.40 	$11,026.33 	$9,056.06 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30024	ST JOSEPH'S HOSPITAL AND MEDICAL CENTER	350 WEST THOMAS ROAD	PHOENIX	AZ	85013	AZ - Phoenix	18	$59,443.83 	$8,487.44 	$7,422.66 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30030	PHOENIX BAPTIST HOSPITAL	2000 WEST BETHANY HOME ROAD	PHOENIX	AZ	85015	AZ - Phoenix	42	$24,714.66 	$7,673.21 	$6,541.92 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30038	SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER	7400 EAST OSBORN ROAD	SCOTTSDALE	AZ	85251	AZ - Phoenix	13	$37,706.00 	$6,590.23 	$5,473.00 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30061	BANNER BOSWELL MEDICAL CENTER	10401 WEST THUNDERBIRD BOULEVARD	SUN CITY	AZ	85351	AZ - Sun City	62	$38,149.85 	$6,048.61 	$4,951.90 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30062	SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER	2200 SHOW LOW LAKE ROAD	SHOW LOW	AZ	85901	AZ - Phoenix	17	$15,931.52 	$10,000.82 	$7,321.64 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30065	BANNER DESERT MEDICAL CENTER	1400 SOUTH  DOBSON ROAD	MESA	AZ	85202	AZ - Mesa	25	$29,718.48 	$7,551.40 	$4,846.36 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30069	HAVASU REGIONAL MEDICAL CENTER	101 CIVIC CENTER LANE	LAKE HAVASU CIT	AZ	86403	AZ - Phoenix	36	$25,259.66 	$6,605.19 	$5,665.41 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30087	SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER	9003 EAST SHEA BOULEVARD	SCOTTSDALE	AZ	85260	AZ - Phoenix	27	$39,165.92 	$6,051.18 	$5,174.25 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30089	BANNER THUNDERBIRD MEDICAL CENTER	5555 WEST THUNDERBIRD ROAD	GLENDALE	AZ	85306	AZ - Phoenix	15	$26,776.33 	$6,907.06 	$5,854.80 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30092	JOHN C LINCOLN DEER VALLEY HOSPITAL	19829 NORTH 27TH AVENUE	PHOENIX	AZ	85027	AZ - Phoenix	11	$24,560.00 	$7,079.36 	$5,204.54 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30093	BANNER DEL E WEBB MEDICAL CENTER	14502 WEST MEEKER BOULEVARD	SUN CITY WEST	AZ	85375	AZ - Sun City	12	$54,050.58 	$6,061.50 	$5,312.16 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30094	ARROWHEAD HOSPITAL	18701 NORTH 67TH AVENUE	GLENDALE	AZ	85308	AZ - Phoenix	13	$32,998.00 	$7,046.00 	$6,264.76 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30100	CARONDELET HEART AND VASCULAR INSTITUTE	4888 NORTH STONE AVENUE	TUCSON	AZ	85704	AZ - Tucson	14	$25,757.64 	$5,976.00 	$3,592.85 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30101	WESTERN ARIZONA REGIONAL MEDICAL CTR	2735 SILVER CREEK ROAD	BULLHEAD CITY	AZ	86442	NV - Las Vegas	26	$60,608.69 	$6,941.03 	$5,652.65 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30103	MAYO CLINIC HOSPITAL	5777 EAST MAYO BOULEVARD	PHOENIX	AZ	85054	AZ - Phoenix	25	$29,774.12 	$7,768.76 	$5,674.20 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	30105	BANNER HEART HOSPITAL	6750 EAST BAYWOOD AVENUE	MESA	AZ	85206	AZ - Mesa	64	$43,823.20 	$6,291.95 	$4,788.12 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40004	WASHINGTON REGIONAL MED CTR AT NORTH HILLS	3215 N NORTH HILLS BLVD	FAYETTEVILLE	AR	72703	AR - Springdale	39	$30,470.56 	$5,811.56 	$4,372.61 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40007	ST VINCENT INFIRMARY MEDICAL CENTER	TWO ST VINCENT CIRCLE	LITTLE ROCK	AR	72205	AR - Little Rock	55	$27,734.89 	$6,051.92 	$4,837.54 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40010	MERCY MEDICAL CENTER	2710 RIFE MEDICAL LANE	ROGERS	AR	72758	AR - Springdale	12	$17,593.33 	$5,509.00 	$4,576.33 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40020	ST BERNARDS MEDICAL CTR	225 E JACKSON	JONESBORO	AR	72401	AR - Jonesboro	48	$11,057.06 	$6,208.77 	$5,247.85 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40022	NW ARKANSAS HOSPITALS, LLC	609 WEST MAPLE AVENUE	SPRINGDALE	AR	72764	AR - Springdale	19	$37,470.73 	$6,153.21 	$4,234.68 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40026	ST JOSEPHS MERCY HEALTH CENTER INC	300 WERNER STREET	HOT SPRINGS	AR	71903	AR - Little Rock	41	$19,270.63 	$5,806.41 	$4,759.70 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40027	BAXTER REGIONAL MEDICAL CENTER	624 HOSPITAL DRIVE	MOUNTAIN HOME	AR	72653	MO - Springfield	76	$16,582.34 	$5,496.31 	$4,424.64 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40029	CONWAY REGIONAL MEDICAL CENTER	2302 COLLEGE AVENUE	CONWAY	AR	72034	AR - Little Rock	17	$11,406.17 	$5,623.52 	$4,569.41 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40036	BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK	3333 SPRINGHILL DRIVE	NORTH LITTLE RO	AR	72117	AR - Little Rock	35	$23,182.42 	$5,575.00 	$4,622.34 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40062	ST EDWARD MERCY MEDICAL CENTER	7301 ROGERS AVE	FORT SMITH	AR	72917	AR - Fort Smith	26	$14,799.30 	$5,489.53 	$4,263.19 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40071	JEFFERSON REGIONAL MEDICAL CENTER	1600 WEST 40TH AVENUE	PINE BLUFF	AR	71603	AR - Little Rock	12	$29,474.08 	$6,529.00 	$5,682.66 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40078	NATIONAL PARK MEDICAL CENTER	1910 MALVERN AVENUE	HOT SPRINGS	AR	71901	AR - Little Rock	18	$98,388.77 	$9,838.11 	$8,533.83 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40114	BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK	9601 INTERSTATE 630, EXIT 7	LITTLE ROCK	AR	72205	AR - Little Rock	139	$25,076.64 	$5,968.44 	$4,592.46 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40118	NEA BAPTIST MEMORIAL HOSPITAL	3024 STADIUM BOULEVARD	JONESBORO	AR	72401	AR - Jonesboro	22	$29,442.36 	$6,451.86 	$5,067.77 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40119	WHITE RIVER MEDICAL CENTER	1710 HARRISON STREET	BATESVILLE	AR	72503	AR - Little Rock	27	$22,973.00 	$6,163.03 	$5,166.29 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	40134	ARKANSAS HEART HOSPITAL	1701 S SHACKLEFORD ROAD	LITTLE ROCK	AR	72211	AR - Little Rock	66	$24,489.93 	$5,225.59 	$4,068.10 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50006	ST JOSEPH HOSPITAL	2700 DOLBEER ST	EUREKA	CA	95501	CA - Redding	48	$44,664.45 	$8,227.14 	$6,936.52 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50007	PENINSULA MEDICAL CENTER	1501 TROUSDALE DRIVE	BURLINGAME	CA	94010	CA - San Mateo County	16	$51,950.87 	$7,863.00 	$6,872.50 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50013	ST HELENA HOSPITAL	10 WOODLAND ROAD	SAINT HELENA	CA	94574	CA - Napa	17	$105,929.47 	$9,438.00 	$8,376.35 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50017	MERCY GENERAL HOSPITAL	4001 J ST	SACRAMENTO	CA	95819	CA - Sacramento	27	$66,207.66 	$10,863.22 	$6,924.70 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50026	GROSSMONT HOSPITAL	5555 GROSSMONT CENTER DRIVE BOX 58	LA MESA	CA	91942	CA - San Diego	26	$40,062.46 	$7,449.80 	$6,358.07 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50036	BAKERSFIELD MEMORIAL HOSPITAL	420 34TH ST BOX 1888	BAKERSFIELD	CA	93301	CA - Bakersfield	21	$53,334.80 	$8,012.23 	$6,213.19 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50039	ENLOE MEDICAL CENTER	1531 ESPLANADE	CHICO	CA	95926	CA - Chico	56	$42,446.30 	$6,967.73 	$5,966.62 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50056	ANTELOPE VALLEY HOSPITAL MED CENTER	1600 W AVE J	LANCASTER	CA	93534	CA - Los Angeles	15	$27,027.93 	$8,333.86 	$6,639.33 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50057	KAWEAH DELTA MEDICAL CENTER	400 W MINERAL KING AVE	VISALIA	CA	93291	CA - Bakersfield	52	$30,686.01 	$7,562.26 	$6,247.48 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50058	GLENDALE MEM HOSPITAL & HLTH CENTER	1420 S CENTRAL AVE	GLENDALE	CA	91204	CA - Los Angeles	11	$65,099.54 	$11,082.18 	$10,056.00 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50069	ST JOSEPH HOSPITAL	1100 WEST STEWART DR	ORANGE	CA	92868	CA - Orange County	40	$35,690.02 	$7,188.90 	$6,347.10 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50077	SCRIPPS MERCY HOSPITAL	4077 5TH AVE	SAN DIEGO	CA	92103	CA - San Diego	13	$57,187.30 	$8,791.69 	$7,925.84 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50082	ST JOHNS REGIONAL MEDICAL CENTER	1600 N ROSE AVE	OXNARD	CA	93030	CA - Ventura	28	$72,051.89 	$8,009.17 	$6,393.35 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50084	ST JOSEPHS MED CENTER OF STOCKTON	1800 N CALIFORNIA ST	STOCKTON	CA	95204	CA - Stockton	66	$59,184.74 	$8,628.40 	$7,758.53 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50093	SAINT AGNES MEDICAL CENTER	1303 E HERNDON AVE	FRESNO	CA	93710	CA - Fresno	34	$41,460.67 	$7,471.70 	$6,580.29 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50107	MARIAN MEDICAL CENTER	1400 E CHURCH ST	SANTA MARIA	CA	93454	CA - Santa Barbara	34	$51,983.85 	$7,992.35 	$6,967.76 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50108	SUTTER GENERAL HOSPITAL	2801 L STREET	SACRAMENTO	CA	95816	CA - Sacramento	67	$60,997.16 	$8,894.85 	$7,905.65 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50115	PALOMAR MEDICAL CENTER	555 E VALLEY PARKWAY	ESCONDIDO	CA	92025	CA - San Diego	12	$44,775.91 	$6,992.33 	$5,583.00 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50128	TRI-CITY MEDICAL CENTER	4002 VISTA WAY	OCEANSIDE	CA	92056	CA - San Diego	26	$52,977.92 	$7,548.76 	$6,598.30 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50133	RIDEOUT MEMORIAL HOSPITAL	726 4TH ST	MARYSVILLE	CA	95901	CA - Sacramento	27	$45,246.74 	$7,863.14 	$6,946.70 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50168	ST JUDE MEDICAL CENTER	101 E VALENCIA MESA DRIVE	FULLERTON	CA	92835	CA - Orange County	16	$39,046.81 	$6,710.81 	$5,465.62 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50174	SANTA ROSA MEMORIAL HOSPITAL	1165 MONTGOMERY DR	SANTA ROSA	CA	95405	CA - Santa Rosa	16	$82,480.75 	$8,830.75 	$7,773.50 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50179	EMANUEL MEDICAL CENTER INC	825 DELBON AVE	TURLOCK	CA	95382	CA - Modesto	15	$57,258.73 	$7,714.13 	$6,888.26 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50485	LONG BEACH MEMORIAL MEDICAL CENTER	2801 ATLANTIC AVE	LONG BEACH	CA	90806	CA - Los Angeles	23	$51,813.13 	$8,349.60 	$5,585.21 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50180	JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS	1601 YGNACIO VALLEY RD	WALNUT CREEK	CA	94598	CA - Contra Costa County	20	$85,165.10 	$12,355.85 	$6,776.50 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50197	SEQUOIA HOSPITAL	170 ALAMEDA DE LAS PULGAS	REDWOOD CITY	CA	94062	CA - San Mateo County	19	$94,693.84 	$8,682.94 	$6,084.89 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50222	SHARP CHULA VISTA MEDICAL CENTER	751 MEDICAL CENTER COURT	CHULA VISTA	CA	91911	CA - San Diego	13	$55,232.69 	$8,104.38 	$7,410.23 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50224	HOAG MEMORIAL HOSPITAL PRESBYTERIAN	ONE HOAG DRIVE	NEWPORT BEACH	CA	92663	CA - Orange County	34	$29,350.85 	$6,511.29 	$5,386.02 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50225	FEATHER RIVER HOSPITAL	5974 PENTZ ROAD	PARADISE	CA	95969	CA - Chico	12	$60,022.58 	$7,122.00 	$6,278.33 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50232	FRENCH HOSPITAL MEDICAL CENTER	1911 JOHNSON AVE	SAN LUIS OBISPO	CA	93401	CA - San Luis Obispo	18	$64,419.66 	$7,185.44 	$6,249.22 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50235	PROVIDENCE SAINT JOSEPH MEDICAL CTR	501 SOUTH BUENA VISTA	BURBANK	CA	91505	CA - Los Angeles	31	$101,282.03 	$8,294.93 	$7,639.70 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50238	METHODIST HOSPITAL OF SOUTHERN CA	300 W HUNTINGTON DR	ARCADIA	CA	91006	CA - Los Angeles	11	$30,027.54 	$7,733.00 	$7,024.27 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50243	DESERT REGIONAL MEDICAL CENTER	1150 NORTH INDIAN CANYON DRIVE	PALM SPRINGS	CA	92262	CA - Palm Springs/Rancho M	12	$88,175.00 	$8,766.83 	$5,902.50 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50262	RONALD REAGAN UCLA MEDICAL CENTER	757 WESTWOOD PLAZA	LOS ANGELES	CA	90095	CA - Los Angeles	13	$36,730.69 	$11,899.76 	$10,946.84 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50280	MERCY MEDICAL CENTER REDDING	2175 ROSALINE AVE, CLAIRMONT HGTS	REDDING	CA	96001	CA - Redding	75	$48,567.22 	$8,668.09 	$7,251.45 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50290	SAINT JOHN'S HEALTH CENTER	2121 SANTA MONICA BLVD	SANTA MONICA	CA	90404	CA - Los Angeles	22	$26,209.54 	$6,483.00 	$5,512.63 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50291	SUTTER MEDICAL CENTER OF SANTA ROSA	3325 CHANATE RD	SANTA ROSA	CA	95404	CA - Santa Rosa	17	$43,000.11 	$10,671.64 	$9,880.11 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50295	MERCY HOSPITAL	2215 TRUXTUN AVENUE	BAKERSFIELD	CA	93301	CA - Bakersfield	11	$48,852.45 	$7,049.09 	$5,825.81 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50308	EL CAMINO HOSPITAL	2500 GRANT ROAD	MOUNTAIN VIEW	CA	94040	CA - San Jose	12	$59,465.00 	$8,180.00 	$7,339.00 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50309	SUTTER ROSEVILLE MEDICAL CENTER	ONE MEDICAL PLAZA	ROSEVILLE	CA	95661	CA - Sacramento	13	$41,204.23 	$8,964.61 	$5,847.00 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50334	SALINAS VALLEY MEMORIAL HOSPITAL	450 EAST ROMIE LANE	SALINAS	CA	93901	CA - Salinas	17	$53,860.17 	$16,744.82 	$7,051.05 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50351	TORRANCE MEMORIAL MEDICAL CENTER	3330 LOMITA BLVD	TORRANCE	CA	90509	CA - Los Angeles	17	$30,510.29 	$6,793.64 	$5,009.94 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50360	MARIN GENERAL HOSPITAL	250 BON AIR ROAD, PO BOX 8010	GREENBRAE	CA	94904	CA - San Francisco	32	$62,077.71 	$8,526.00 	$7,540.50 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50380	GOOD SAMARITAN HOSPITAL	2425 SAMARITAN DRIVE	SAN JOSE	CA	95124	CA - San Jose	17	$69,223.47 	$11,721.64 	$7,132.82 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50382	CITRUS VALLEY MEDICAL CENTER-IC CAMPUS	210 W  SAN BERNARDINO ROAD	COVINA	CA	91723	CA - Los Angeles	17	$42,287.47 	$9,044.00 	$7,859.88 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50390	HEMET VALLEY MEDICAL CENTER	1117 EAST DEVONSHIRE	HEMET	CA	92543	CA - San Bernardino	19	$36,866.31 	$7,513.31 	$6,508.89 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50394	COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA	147 N BRENT ST	VENTURA	CA	93003	CA - Ventura	21	$60,448.47 	$6,967.23 	$6,110.85 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50396	SANTA BARBARA COTTAGE HOSPITAL	400 WEST PUEBLO	SANTA BARBARA	CA	93102	CA - Santa Barbara	28	$37,691.96 	$7,533.50 	$6,573.50 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50424	SCRIPPS GREEN HOSPITAL	10666 NORTH TORREY PINES ROAD	LA JOLLA	CA	92037	CA - San Diego	11	$62,924.09 	$7,309.81 	$6,289.45 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50438	HUNTINGTON MEMORIAL HOSPITAL	100 W  CALIFORNIA BLVD	PASADENA	CA	91109	CA - Los Angeles	19	$31,305.47 	$7,804.00 	$6,738.31 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	50441	STANFORD HOSPITAL	300 PASTEUR DRIVE	STANFORD	CA	94305	CA - San Mateo County	27	$90,836.48 	$12,396.29 	$11,483.40 
